"","RND","HSD","EA","HH","ID","HHID","HHID.rnd","Plate","Sample.identifier","Row","Column","Well","MolSpecies","Expected.species","kdr","N1575Y","Cyp4j5","Coeae1d","Pfal.score","OVM.score","Pfal","OVM","X2La","Cyp6p4","ZZB","Cyp6aa","Cyp6aa_Dup","lat","lon","survey","LLIN.intend","LLIN.actual","Net.intend","Net.actual","Wave","Location","subregions","wgs.sample.id","species"
"11",1,76,3,28,15,107603028,7603028,1,26,"C",2,"2C","S","GA","SS","NN","FF","SR",0,0,0,0,"SS","II","LL","NN","WT",0.843796,33.04163,"baseline","PBO LLIN","PBO LLIN","PermaNet-3","PermaNet-3",3,"East","East Central","107603028015","An. gambiae"
"12",1,76,3,28,22,107603028,7603028,1,38,"D",2,"2D","S","GA","SS","NN","FF","RR",0,0,0,0,NA,"MM","ZZ","DD","Dup",0.843796,33.04163,"baseline","PBO LLIN","PBO LLIN","PermaNet-3","PermaNet-3",3,"East","East Central","107603028022","An. gambiae"
"13",1,76,3,28,49,107603028,7603028,1,50,"E",2,"2E","S","GA","SS","NN","FF","RR",0,0,0,0,NA,"MM","ZZ","DN","Dup",0.843796,33.04163,"baseline","PBO LLIN","PBO LLIN","PermaNet-3","PermaNet-3",3,"East","East Central","107603028049","An. gambiae"
"14",1,76,3,28,50,107603028,7603028,1,62,"F",2,"2F","S","GA","FS","NN","FF","SR",0,0,0,0,"SS","MM","ZZ","DD","Dup",0.843796,33.04163,"baseline","PBO LLIN","PBO LLIN","PermaNet-3","PermaNet-3",3,"East","East Central","107603028050","An. gambiae"
"15",1,76,3,28,53,107603028,7603028,1,74,"G",2,"2G","S","GA","SS","NN","LF","RR",0,0,0,0,"SI","MM","ZZ","DD","Dup",0.843796,33.04163,"baseline","PBO LLIN","PBO LLIN","PermaNet-3","PermaNet-3",3,"East","East Central","107603028053","An. gambiae"
"16",1,76,3,28,4,107603028,7603028,1,86,"H",2,"2H","S","GA","SS","NN","LL","RR",0,0,0,0,"SI","MM","ZZ","DN","Dup",0.843796,33.04163,"baseline","PBO LLIN","PBO LLIN","PermaNet-3","PermaNet-3",3,"East","East Central","107603028004","An. gambiae"
"17",1,76,8,19,34,107608019,7608019,1,3,"A",3,"3A","S","GA","SS","NN","LL","RR",0,0,0,0,"II","IM","ZL","DN","Dup",0.943891,33.11649,"baseline","PBO LLIN","PBO LLIN","PermaNet-3","PermaNet-3",3,"East","East Central","107608019034","An. gambiae"
"18",1,76,8,19,25,107608019,7608019,1,15,"B",3,"3B","S","GA","SS","NN","LF","SS",0,0,0,0,NA,"MM","ZZ","DD","Dup",0.943891,33.11649,"baseline","PBO LLIN","PBO LLIN","PermaNet-3","PermaNet-3",3,"East","East Central","107608019025","An. gambiae"
"19",1,76,8,19,21,107608019,7608019,1,27,"C",3,"3C","S","GA","SS","NN","LF","SR",0,0,0,0,"SI","MM","ZZ","DD","Dup",0.943891,33.11649,"baseline","PBO LLIN","PBO LLIN","PermaNet-3","PermaNet-3",3,"East","East Central","107608019021","An. gambiae"
"20",1,76,8,19,8,107608019,7608019,1,39,"D",3,"3D","S","GA","SS","NN","LF","RR",0,0,0,0,"SI","MM","ZZ","DD","Dup",0.943891,33.11649,"baseline","PBO LLIN","PBO LLIN","PermaNet-3","PermaNet-3",3,"East","East Central","107608019008","An. gambiae"
"21",1,76,8,19,26,107608019,7608019,1,51,"E",3,"3E","S","GA","SS","NN","LF","RR",0,0,0,0,"SI","IM","ZL","DN","Dup",0.943891,33.11649,"baseline","PBO LLIN","PBO LLIN","PermaNet-3","PermaNet-3",3,"East","East Central","107608019026","An. gambiae"
"22",1,76,8,19,4,107608019,7608019,1,63,"F",3,"3F","S","GA","SS","NN","FF","SR",1,0,0,0,"SS","IM","ZL","DN","Dup",0.943891,33.11649,"baseline","PBO LLIN","PBO LLIN","PermaNet-3","PermaNet-3",3,"East","East Central","107608019004","An. gambiae"
"23",1,76,8,19,20,107608019,7608019,1,75,"G",3,"3G","S","GA","SS","NN","LL","SS",0,0,0,0,"II","MM","ZZ","DD","Dup",0.943891,33.11649,"baseline","PBO LLIN","PBO LLIN","PermaNet-3","PermaNet-3",3,"East","East Central","107608019020","An. gambiae"
"24",1,76,8,19,35,107608019,7608019,1,87,"H",3,"3H","S","GA","SS","NN","FF","SR",0,0,0,0,"SS","IM","ZL","DN","Dup",0.943891,33.11649,"baseline","PBO LLIN","PBO LLIN","PermaNet-3","PermaNet-3",3,"East","East Central","107608019035","An. gambiae"
"25",1,76,1,27,62,107601027,7601027,1,4,"A",4,"4A","S","GA","SS","NN","FF","SS",0,0,0,0,"SS","MM","ZZ","DD","Dup",0.736423,33.06217,"baseline","PBO LLIN","PBO LLIN","PermaNet-3","PermaNet-3",3,"East","East Central","107601027062","An. gambiae"
"26",1,76,1,27,85,107601027,7601027,1,16,"B",4,"4B","S","GA","SS","NN","LL","RR",0,0,0,0,"II","MM","ZZ","DD","Dup",0.736423,33.06217,"baseline","PBO LLIN","PBO LLIN","PermaNet-3","PermaNet-3",3,"East","East Central","107601027085","An. gambiae"
"27",1,76,1,27,53,107601027,7601027,1,28,"C",4,"4C","S","GA","SS","NN","LF","RR",0,0,0,0,"SS","MM","ZZ","DD","Dup",0.736423,33.06217,"baseline","PBO LLIN","PBO LLIN","PermaNet-3","PermaNet-3",3,"East","East Central","107601027053","An. gambiae"
"28",1,76,1,27,10,107601027,7601027,1,40,"D",4,"4D","FUN","FU",NA,NA,NA,NA,2,0,1,0,NA,NA,NA,NA,NA,0.736423,33.06217,"baseline","PBO LLIN","PBO LLIN","PermaNet-3","PermaNet-3",3,"East","East Central","107601027010","An. funestus"
"29",1,76,1,27,75,107601027,7601027,1,52,"E",4,"4E","S","GA","LS","NN","LF","SR",0,0,0,0,"SI","IM","ZL","DD","Dup",0.736423,33.06217,"baseline","PBO LLIN","PBO LLIN","PermaNet-3","PermaNet-3",3,"East","East Central","107601027075","An. gambiae"
"30",1,76,1,27,45,107601027,7601027,1,64,"F",4,"4F","S","GA","SS","NN","LL","SR",0,0,0,0,"SS","IM","ZL","NN","WT",0.736423,33.06217,"baseline","PBO LLIN","PBO LLIN","PermaNet-3","PermaNet-3",3,"East","East Central","107601027045","An. gambiae"
"31",1,76,1,27,3,107601027,7601027,1,76,"G",4,"4G","FUN","FU",NA,"NN",NA,NA,1,0,0,0,NA,"MM",NA,NA,NA,0.736423,33.06217,"baseline","PBO LLIN","PBO LLIN","PermaNet-3","PermaNet-3",3,"East","East Central","107601027003","An. funestus"
"32",1,76,1,27,88,107601027,7601027,1,88,"H",4,"4H","S","GA","SS","NN","LF","SS",0,0,0,0,"SS","IM","ZL","DN","Dup",0.736423,33.06217,"baseline","PBO LLIN","PBO LLIN","PermaNet-3","PermaNet-3",3,"East","East Central","107601027088","An. gambiae"
"33",1,76,2,34,10,107602034,7602034,1,5,"A",5,"5A","S","GA","SS","NN","LL","SR",0,0,0,0,"II","MM","ZZ","DD","Dup",0.693906,33.07369,"baseline","PBO LLIN","PBO LLIN","PermaNet-3","PermaNet-3",3,"East","East Central","107602034010","An. gambiae"
"34",1,76,2,34,29,107602034,7602034,1,17,"B",5,"5B","S","GA","SS","NN","LL","RR",0,0,0,0,"II","MM","ZZ","DD","Dup",0.693906,33.07369,"baseline","PBO LLIN","PBO LLIN","PermaNet-3","PermaNet-3",3,"East","East Central","107602034029","An. gambiae"
"35",1,76,2,34,3,107602034,7602034,1,29,"C",5,"5C","FUN","FU",NA,NA,NA,NA,0,0,0,0,NA,"MM",NA,NA,NA,0.693906,33.07369,"baseline","PBO LLIN","PBO LLIN","PermaNet-3","PermaNet-3",3,"East","East Central","107602034003","An. funestus"
"36",1,76,2,34,18,107602034,7602034,1,41,"D",5,"5D","S","GA","SS","NN","LF","SR",0,0,0,0,"SI","MM","ZZ","DD","Dup",0.693906,33.07369,"baseline","PBO LLIN","PBO LLIN","PermaNet-3","PermaNet-3",3,"East","East Central","107602034018","An. gambiae"
"37",1,76,2,34,9,107602034,7602034,1,53,"E",5,"5E","S","GA","SS","NN","LF","RR",0,0,0,0,"II","MM","ZZ","DD","Dup",0.693906,33.07369,"baseline","PBO LLIN","PBO LLIN","PermaNet-3","PermaNet-3",3,"East","East Central","107602034009","An. gambiae"
"38",1,76,2,34,20,107602034,7602034,1,65,"F",5,"5F","S","GA","SS","NN","FF","SR",0,0,0,0,"SI","MM","ZZ","DD","Dup",0.693906,33.07369,"baseline","PBO LLIN","PBO LLIN","PermaNet-3","PermaNet-3",3,"East","East Central","107602034020","An. gambiae"
"39",1,76,2,34,7,107602034,7602034,1,77,"G",5,"5G","S","GA","FS","NN","FF","SS",0,0,0,0,"SS","IM","ZL","DN","Dup",0.693906,33.07369,"baseline","PBO LLIN","PBO LLIN","PermaNet-3","PermaNet-3",3,"East","East Central","107602034007","An. gambiae"
"40",1,76,2,34,1,107602034,7602034,1,89,"H",5,"5H","FUN","FU",NA,NA,NA,NA,0,0,0,0,NA,"MM",NA,NA,NA,0.693906,33.07369,"baseline","PBO LLIN","PBO LLIN","PermaNet-3","PermaNet-3",3,"East","East Central","107602034001","An. funestus"
"41",1,76,5,2,12,107605002,7605002,1,6,"A",6,"6A","S","GA","SS","NN","LL","RR",0,0,0,0,"II","MM","ZZ","DD","Dup",0.927683,33.14903,"baseline","PBO LLIN","PBO LLIN","PermaNet-3","PermaNet-3",3,"East","East Central","107605002012","An. gambiae"
"42",1,76,5,2,20,107605002,7605002,1,18,"B",6,"6B","S","GA","SS","NN","LF","SR",2,0,1,0,"SI","IM","ZL","NN","WT",0.927683,33.14903,"baseline","PBO LLIN","PBO LLIN","PermaNet-3","PermaNet-3",3,"East","East Central","107605002020","An. gambiae"
"43",1,76,5,2,17,107605002,7605002,1,30,"C",6,"6C","S","GA","SS","NN","LL","SR",0,0,0,0,"II","IM","ZL","DD","Dup",0.927683,33.14903,"baseline","PBO LLIN","PBO LLIN","PermaNet-3","PermaNet-3",3,"East","East Central","107605002017","An. gambiae"
"44",1,76,5,2,14,107605002,7605002,1,42,"D",6,"6D","S","GA","FS","NN","FF","SR",2,0,1,0,"SI","MM","ZZ","DD","Dup",0.927683,33.14903,"baseline","PBO LLIN","PBO LLIN","PermaNet-3","PermaNet-3",3,"East","East Central","107605002014","An. gambiae"
"45",1,76,5,2,11,107605002,7605002,1,54,"E",6,"6E","S","GA","SS","NN","LL","SS",1,0,0,0,"II","MM","ZZ","DD","Dup",0.927683,33.14903,"baseline","PBO LLIN","PBO LLIN","PermaNet-3","PermaNet-3",3,"East","East Central","107605002011","An. gambiae"
"46",1,76,5,2,6,107605002,7605002,1,66,"F",6,"6F","S","GA","SS","NN","LL","SS",1,0,0,0,"II","IM","ZL","DN","Dup",0.927683,33.14903,"baseline","PBO LLIN","PBO LLIN","PermaNet-3","PermaNet-3",3,"East","East Central","107605002006","An. gambiae"
"47",1,76,5,2,23,107605002,7605002,1,78,"G",6,"6G","S","GA","SS","NN","LL","RR",1,0,0,0,"II","IM","ZZ","DN","Dup",0.927683,33.14903,"baseline","PBO LLIN","PBO LLIN","PermaNet-3","PermaNet-3",3,"East","East Central","107605002023","An. gambiae"
"48",1,76,5,2,22,107605002,7605002,1,90,"H",6,"6H","S","GA","SS","NN","FF","RR",0,0,0,0,"SS","MM","ZZ","DD","Dup",0.927683,33.14903,"baseline","PBO LLIN","PBO LLIN","PermaNet-3","PermaNet-3",3,"East","East Central","107605002022","An. gambiae"
"49",1,84,1,73,8,108401073,8401073,1,7,"A",7,"7A","S","GA","SS","NN","LF","SR",0,0,0,0,"SS","MM","ZZ","DD","Dup",0.724543,33.41925,"baseline","Non-PBO LLIN","Non-PBO LLIN","PermaNet-2","PermaNet-2",3,"East","East Central","108401073008","An. gambiae"
"50",1,84,1,73,19,108401073,8401073,1,19,"B",7,"7B","AR","GA","LL","NN","FF","SR",1,0,0,0,"SS","II","LL","NN","WT",0.724543,33.41925,"baseline","Non-PBO LLIN","Non-PBO LLIN","PermaNet-2","PermaNet-2",3,"East","East Central","108401073019","An. arabiensis"
"51",1,84,1,73,9,108401073,8401073,1,31,"C",7,"7C","S","GA","SS","NN","LF","SS",0,0,0,0,NA,"MM","ZZ","DD","Dup",0.724543,33.41925,"baseline","Non-PBO LLIN","Non-PBO LLIN","PermaNet-2","PermaNet-2",3,"East","East Central","108401073009","An. gambiae"
"52",1,84,1,73,16,108401073,8401073,1,43,"D",7,"7D","S","GA","SS","NN","FF","SR",1,0,0,0,"SS","MM","ZZ","DN","Dup",0.724543,33.41925,"baseline","Non-PBO LLIN","Non-PBO LLIN","PermaNet-2","PermaNet-2",3,"East","East Central","108401073016","An. gambiae"
"53",1,84,1,73,14,108401073,8401073,1,55,"E",7,"7E","AR","GA","LL","NN","FF","SR",0,0,0,0,"SS","II","LL","NN","WT",0.724543,33.41925,"baseline","Non-PBO LLIN","Non-PBO LLIN","PermaNet-2","PermaNet-2",3,"East","East Central","108401073014","An. arabiensis"
"54",1,84,1,73,15,108401073,8401073,1,67,"F",7,"7F","S","GA","SS","NN","LF","SR",0,0,0,0,"SS","MM","ZZ","DD","Dup",0.724543,33.41925,"baseline","Non-PBO LLIN","Non-PBO LLIN","PermaNet-2","PermaNet-2",3,"East","East Central","108401073015","An. gambiae"
"55",1,84,1,73,3,108401073,8401073,1,79,"G",7,"7G","S","GA","SS","NN","FF","SR",1,0,0,0,"SI","IM","ZL","DN","Dup",0.724543,33.41925,"baseline","Non-PBO LLIN","Non-PBO LLIN","PermaNet-2","PermaNet-2",3,"East","East Central","108401073003","An. gambiae"
"56",1,84,1,73,7,108401073,8401073,1,91,"H",7,"7H","S","GA","SS","NN","LF","SR",0,0,0,0,"SS","MM","ZZ","DN","Dup",0.724543,33.41925,"baseline","Non-PBO LLIN","Non-PBO LLIN","PermaNet-2","PermaNet-2",3,"East","East Central","108401073007","An. gambiae"
"57",1,84,2,32,9,108402032,8402032,1,8,"A",8,"8A","S","GA","SS","NN","LL","SR",0,0,0,0,NA,"MM","ZZ","DD","Dup",0.878611,33.32753,"baseline","Non-PBO LLIN","Non-PBO LLIN","PermaNet-2","PermaNet-2",3,"East","East Central","108402032009","An. gambiae"
"58",1,84,2,32,4,108402032,8402032,1,20,"B",8,"8B","S","GA","SS","NN","LL","SR",0,0,0,0,NA,"MM","ZZ","DD","Dup",0.878611,33.32753,"baseline","Non-PBO LLIN","Non-PBO LLIN","PermaNet-2","PermaNet-2",3,"East","East Central","108402032004","An. gambiae"
"59",1,84,2,32,2,108402032,8402032,1,32,"C",8,"8C","S","GA","SS","NN","FF","SR",0,0,0,0,"SS","IM","ZL","DN","Dup",0.878611,33.32753,"baseline","Non-PBO LLIN","Non-PBO LLIN","PermaNet-2","PermaNet-2",3,"East","East Central","108402032002","An. gambiae"
"60",1,84,2,32,6,108402032,8402032,1,44,"D",8,"8D","S","GA","SS","NN","FF","SR",0,0,0,0,NA,"IM","ZZ","DD","Dup",0.878611,33.32753,"baseline","Non-PBO LLIN","Non-PBO LLIN","PermaNet-2","PermaNet-2",3,"East","East Central","108402032006","An. gambiae"
"61",1,84,2,32,1,108402032,8402032,1,56,"E",8,"8E","S","GA","SS","NN","LF","SS",0,0,0,0,NA,"MM","ZZ","DD","Dup",0.878611,33.32753,"baseline","Non-PBO LLIN","Non-PBO LLIN","PermaNet-2","PermaNet-2",3,"East","East Central","108402032001","An. gambiae"
"62",1,84,2,32,7,108402032,8402032,1,68,"F",8,"8F","S","GA","SS","NN","FF","RR",0,0,0,0,"SS","IM","ZL","DN","Dup",0.878611,33.32753,"baseline","Non-PBO LLIN","Non-PBO LLIN","PermaNet-2","PermaNet-2",3,"East","East Central","108402032007","An. gambiae"
"63",1,84,2,32,5,108402032,8402032,1,80,"G",8,"8G","S","GA","SS","NN","LF","RR",1,0,0,0,NA,"MM","ZZ","DN","Dup",0.878611,33.32753,"baseline","Non-PBO LLIN","Non-PBO LLIN","PermaNet-2","PermaNet-2",3,"East","East Central","108402032005","An. gambiae"
"64",1,84,2,32,8,108402032,8402032,1,92,"H",8,"8H","S","GA","SS","NN","LL","SR",0,0,0,0,"SI","MM","ZZ","DD","Dup",0.878611,33.32753,"baseline","Non-PBO LLIN","Non-PBO LLIN","PermaNet-2","PermaNet-2",3,"East","East Central","108402032008","An. gambiae"
"65",1,84,5,57,28,108405057,8405057,1,9,"A",9,"9A","S","GA","SS","NN","LF","SR",1,0,0,0,"II","II","ZL","NN","WT",0.949423,33.34434,"baseline","Non-PBO LLIN","Non-PBO LLIN","PermaNet-2","PermaNet-2",3,"East","East Central","108405057028","An. gambiae"
"66",1,84,5,57,40,108405057,8405057,1,21,"B",9,"9B","S","GA","SS","NN","FF","RR",0,0,0,0,"SS","MM","ZZ","DD","Dup",0.949423,33.34434,"baseline","Non-PBO LLIN","Non-PBO LLIN","PermaNet-2","PermaNet-2",3,"East","East Central","108405057040","An. gambiae"
"67",1,84,5,57,22,108405057,8405057,1,33,"C",9,"9C","S","GA","SS","NN","LL","SR",0,0,0,0,"II","MM","ZZ","DD","Dup",0.949423,33.34434,"baseline","Non-PBO LLIN","Non-PBO LLIN","PermaNet-2","PermaNet-2",3,"East","East Central","108405057022","An. gambiae"
"68",1,84,5,57,24,108405057,8405057,1,45,"D",9,"9D","S","GA","SS","NN","LF","SR",0,0,0,0,"SI","MM","ZZ","DD","Dup",0.949423,33.34434,"baseline","Non-PBO LLIN","Non-PBO LLIN","PermaNet-2","PermaNet-2",3,"East","East Central","108405057024","An. gambiae"
"69",1,84,5,57,36,108405057,8405057,1,57,"E",9,"9E","S","GA","SS","NN","LL","SR",0,0,0,0,"SI","MM","ZZ","DD","Dup",0.949423,33.34434,"baseline","Non-PBO LLIN","Non-PBO LLIN","PermaNet-2","PermaNet-2",3,"East","East Central","108405057036","An. gambiae"
"70",1,84,5,57,32,108405057,8405057,1,69,"F",9,"9F","S","GA","SS","NN","LL","SR",0,0,0,0,"II","MM","ZZ","DD","Dup",0.949423,33.34434,"baseline","Non-PBO LLIN","Non-PBO LLIN","PermaNet-2","PermaNet-2",3,"East","East Central","108405057032","An. gambiae"
"71",1,84,5,57,18,108405057,8405057,1,81,"G",9,"9G","S","GA","SS","NN","FF","SR",0,0,0,0,"SS","MM","ZZ","DN","Dup",0.949423,33.34434,"baseline","Non-PBO LLIN","Non-PBO LLIN","PermaNet-2","PermaNet-2",3,"East","East Central","108405057018","An. gambiae"
"72",1,84,5,57,9,108405057,8405057,1,93,"H",9,"9H","S","GA","SS","NN","FF","RR",0,0,0,0,"SS","MM","ZZ","DD","Dup",0.949423,33.34434,"baseline","Non-PBO LLIN","Non-PBO LLIN","PermaNet-2","PermaNet-2",3,"East","East Central","108405057009","An. gambiae"
"73",1,84,6,48,19,108406048,8406048,1,10,"A",10,"10A","S","GA","SS","NN","LF","RR",0,0,0,0,"SI","MM","ZZ","DD","Dup",1.024931,33.33096,"baseline","Non-PBO LLIN","Non-PBO LLIN","PermaNet-2","PermaNet-2",3,"East","East Central","108406048019","An. gambiae"
"74",1,84,6,48,6,108406048,8406048,1,22,"B",10,"10B","S","GA","SS","NN","FF","SR",0,0,0,0,"SI","IM","ZL","NN","WT",1.024931,33.33096,"baseline","Non-PBO LLIN","Non-PBO LLIN","PermaNet-2","PermaNet-2",3,"East","East Central","108406048006","An. gambiae"
"75",1,84,6,48,11,108406048,8406048,1,34,"C",10,"10C","S","GA","SS","NN","LF","SR",0,0,0,0,"SI","MM","ZZ","DD","Dup",1.024931,33.33096,"baseline","Non-PBO LLIN","Non-PBO LLIN","PermaNet-2","PermaNet-2",3,"East","East Central","108406048011","An. gambiae"
"76",1,84,6,48,9,108406048,8406048,1,46,"D",10,"10D","S","GA","SS","NN","LF","SR",0,0,0,0,"SS","MM","ZZ","DN","Dup",1.024931,33.33096,"baseline","Non-PBO LLIN","Non-PBO LLIN","PermaNet-2","PermaNet-2",3,"East","East Central","108406048009","An. gambiae"
"77",1,84,6,48,17,108406048,8406048,1,58,"E",10,"10E","S","GA","SS","NN","FF","SR",0,0,0,0,"SS","MM","ZZ","DD","Dup",1.024931,33.33096,"baseline","Non-PBO LLIN","Non-PBO LLIN","PermaNet-2","PermaNet-2",3,"East","East Central","108406048017","An. gambiae"
"78",1,84,6,48,20,108406048,8406048,1,70,"F",10,"10F","S","GA","SS","NN","LF","RR",0,0,0,0,"SS","MM","ZZ","DD","Dup",1.024931,33.33096,"baseline","Non-PBO LLIN","Non-PBO LLIN","PermaNet-2","PermaNet-2",3,"East","East Central","108406048020","An. gambiae"
"79",1,84,6,48,10,108406048,8406048,1,82,"G",10,"10G","S","GA","SS","NN","LF","SR",0,0,0,0,"SS","MM","ZZ","DN","Dup",1.024931,33.33096,"baseline","Non-PBO LLIN","Non-PBO LLIN","PermaNet-2","PermaNet-2",3,"East","East Central","108406048010","An. gambiae"
"80",1,84,6,48,2,108406048,8406048,1,94,"H",10,"10H","S","GA","SS","NN","LF","RR",0,0,0,0,"SI","MM","ZZ","DD","Dup",1.024931,33.33096,"baseline","Non-PBO LLIN","Non-PBO LLIN","PermaNet-2","PermaNet-2",3,"East","East Central","108406048002","An. gambiae"
"81",1,84,4,78,1,108404078,8404078,1,11,"A",11,"11A","FUN","GA",NA,NA,NA,NA,0,0,0,0,NA,"MM",NA,NA,NA,0.778983,33.38508,"baseline","Non-PBO LLIN","Non-PBO LLIN","PermaNet-2","PermaNet-2",3,"East","East Central","108404078001","An. funestus"
"82",1,84,4,78,2,108404078,8404078,1,23,"B",11,"11B","S","GA","SS","NN","LF","SS",0,0,0,0,"SI","MM","ZZ","DD","Dup",0.778983,33.38508,"baseline","Non-PBO LLIN","Non-PBO LLIN","PermaNet-2","PermaNet-2",3,"East","East Central","108404078002","An. gambiae"
"83",1,84,4,78,3,108404078,8404078,1,35,"C",11,"11C","S","GA","SS","NN","LF","SR",0,0,0,0,"SI","MM","ZZ","DD","Dup",0.778983,33.38508,"baseline","Non-PBO LLIN","Non-PBO LLIN","PermaNet-2","PermaNet-2",3,"East","East Central","108404078003","An. gambiae"
"84",1,84,4,78,4,108404078,8404078,1,47,"D",11,"11D","S","GA","SS","NN","LF","SR",0,0,0,0,"II","MM","ZZ","DD","Dup",0.778983,33.38508,"baseline","Non-PBO LLIN","Non-PBO LLIN","PermaNet-2","PermaNet-2",3,"East","East Central","108404078004","An. gambiae"
"85",1,84,7,25,1,108407025,8407025,1,59,"E",11,"11E","S","GA","SS","NN","LL","SR",0,0,0,0,"II","MM","ZZ","DN","Dup",0.7554361,33.26984,"baseline","Non-PBO LLIN","Non-PBO LLIN","PermaNet-2","PermaNet-2",3,"East","East Central","108407025001","An. gambiae"
"86",1,84,10,193,1,108410193,8410193,1,71,"F",11,"11F","S","GA","SS","NN","LL","SR",0,0,0,0,NA,"MM","ZZ","DN","Dup",0.568992,33.40927,"baseline","Non-PBO LLIN","Non-PBO LLIN","PermaNet-2","PermaNet-2",3,"East","East Central","108410193001","An. gambiae"
"87",1,84,5,57,14,108405057,8405057,1,83,"G",11,"11G","S","GA","SS","NN","LF","SR",0,0,0,0,NA,"IM","ZL","DN","Dup",0.949423,33.34434,"baseline","Non-PBO LLIN","Non-PBO LLIN","PermaNet-2","PermaNet-2",3,"East","East Central","108405057014","An. gambiae"
"88",1,84,5,57,21,108405057,8405057,1,95,"H",11,"11H","S","FU","SS","NN","FF","SR",0,0,0,0,NA,"MM","ZZ","DD","Dup",0.949423,33.34434,"baseline","Non-PBO LLIN","Non-PBO LLIN","PermaNet-2","PermaNet-2",3,"East","East Central","108405057021","An. gambiae"
"89",1,84,5,57,34,108405057,8405057,1,12,"A",12,"12A","S","GA","SS","NN","LL","SR",0,0,0,0,"SI","MM","ZZ","DD","Dup",0.949423,33.34434,"baseline","Non-PBO LLIN","Non-PBO LLIN","PermaNet-2","PermaNet-2",3,"East","East Central","108405057034","An. gambiae"
"90",1,84,5,57,6,108405057,8405057,1,24,"B",12,"12B","S","GA","SS","NN","FF","SR",0,0,0,0,NA,"MM","ZZ","DN","Dup",0.949423,33.34434,"baseline","Non-PBO LLIN","Non-PBO LLIN","PermaNet-2","PermaNet-2",3,"East","East Central","108405057006","An. gambiae"
"91",1,84,5,57,31,108405057,8405057,1,36,"C",12,"12C","S","GA","SS","NN","FF","SR",0,0,0,0,"SS","MM","ZZ","DD","Dup",0.949423,33.34434,"baseline","Non-PBO LLIN","Non-PBO LLIN","PermaNet-2","PermaNet-2",3,"East","East Central","108405057031","An. gambiae"
