sample_id,partner_sample_id_x,contributor,country,location,year,month,latitude,longitude,sex_call,sample_set,release,quarter,study_id,study_url,terms_of_use_expiry_date,terms_of_use_url,unrestricted_use,mean_cov,median_cov,modal_cov,mean_cov_2L,median_cov_2L,mode_cov_2L,mean_cov_2R,median_cov_2R,mode_cov_2R,mean_cov_3L,median_cov_3L,mode_cov_3L,mean_cov_3R,median_cov_3R,mode_cov_3R,mean_cov_X,median_cov_X,mode_cov_X,frac_gen_cov,divergence,contam_pct,contam_LLR,aim_species_fraction_arab,aim_species_fraction_colu,aim_species_fraction_colu_no2l,aim_species_gambcolu_arabiensis,aim_species_gambiae_coluzzii,aim_species,country_iso,admin1_name,admin1_iso,admin2_name,taxon,cohort_admin1_year,cohort_admin1_month,cohort_admin1_quarter,cohort_admin2_year,cohort_admin2_month,cohort_admin2_quarter,partner_sample_id_y,RND,HSD,EA,HH,ID,HHID,HHID.rnd,Plate,Sample.identifier,Row,Column,Well,MolSpecies,Expected.species,kdr,N1575Y,Cyp4j5,Coeae1d,Pfal.score,OVM.score,Pfal,OVM,X2La,Cyp6p4,ZZB,Cyp6aa,Cyp6aa_Dup,lat,lon,survey,LLIN.intend,llin_actual,Net.intend,Net.actual,Wave,Location,subregions,species,control_phase,partner_sample_id
VBS50295-6645STDY11194062,109410010012,Martin Donnelly,Uganda,9410,2017,5,1.075,33.39,F,1288-VO-UG-DONNELLY-VMF00168,3.6,2,1288-VO-UG-DONNELLY,https://www.malariagen.net/partner_study/1288-VO-UG-DONNELLY,2025-11-17,https://malariagen.github.io/vector-data/ag3/ag3.6.html#terms-of-use,False,28.32,28,29,28.61,28,29,28.47,29,29,27.51,28,28,27.84,28,28,29.8,29,29,0.941,0.02035,1.807,1966.22,0.0015325670498084,0.01931330472103,0.0205930807248764,gambcolu,gambiae,gambiae,UGA,Eastern Region,UG-E,Kaliro,gambiae,UG-E_gamb_2017,UG-E_gamb_2017_05,UG-E_gamb_2017_Q2,UG-E_Kaliro_gamb_2017,UG-E_Kaliro_gamb_2017_05,UG-E_Kaliro_gamb_2017_Q2,109410010012,1.0,94.0,10.0,10.0,12.0,109410010.0,9410010.0,2.0,3.0,A,3.0,3A,S,GA,SS,NN,LL,SR,0.0,0.0,0.0,0.0,II,MM,ZZ,DD,Dup,1.0702,33.39058,baseline,PBO LLIN,PBO LLIN,PermaNet-3,PermaNet-3,3.0,East,East Central,An. gambiae,pre,109410010012
VBS50296-6645STDY11194063,109410010006,Martin Donnelly,Uganda,9410,2017,5,1.075,33.39,F,1288-VO-UG-DONNELLY-VMF00168,3.6,2,1288-VO-UG-DONNELLY,https://www.malariagen.net/partner_study/1288-VO-UG-DONNELLY,2025-11-17,https://malariagen.github.io/vector-data/ag3/ag3.6.html#terms-of-use,False,31.03,31,32,30.99,31,32,31.4,32,32,30.27,31,31,30.56,31,31,32.53,32,32,0.939,0.02192,1.922,2409.6,0.0022988505747126,0.0128755364806866,0.0140032948929159,gambcolu,gambiae,gambiae,UGA,Eastern Region,UG-E,Kaliro,gambiae,UG-E_gamb_2017,UG-E_gamb_2017_05,UG-E_gamb_2017_Q2,UG-E_Kaliro_gamb_2017,UG-E_Kaliro_gamb_2017_05,UG-E_Kaliro_gamb_2017_Q2,109410010006,1.0,94.0,10.0,10.0,6.0,109410010.0,9410010.0,2.0,15.0,B,3.0,3B,S,GA,SS,NN,FF,SS,0.0,0.0,0.0,0.0,SS,MM,ZZ,DD,Dup,1.0702,33.39058,baseline,PBO LLIN,PBO LLIN,PermaNet-3,PermaNet-3,3.0,East,East Central,An. gambiae,pre,109410010006
VBS50297-6645STDY11194064,109410010005,Martin Donnelly,Uganda,9410,2017,5,1.075,33.39,F,1288-VO-UG-DONNELLY-VMF00168,3.6,2,1288-VO-UG-DONNELLY,https://www.malariagen.net/partner_study/1288-VO-UG-DONNELLY,2025-11-17,https://malariagen.github.io/vector-data/ag3/ag3.6.html#terms-of-use,False,30.15,30,30,30.09,30,30,30.41,31,31,29.33,29,30,29.77,30,30,31.84,31,31,0.94,0.02115,1.849,2143.426,0.0015328607012837,0.0172166427546628,0.0181818181818181,gambcolu,gambiae,gambiae,UGA,Eastern Region,UG-E,Kaliro,gambiae,UG-E_gamb_2017,UG-E_gamb_2017_05,UG-E_gamb_2017_Q2,UG-E_Kaliro_gamb_2017,UG-E_Kaliro_gamb_2017_05,UG-E_Kaliro_gamb_2017_Q2,109410010005,1.0,94.0,10.0,10.0,5.0,109410010.0,9410010.0,2.0,27.0,C,3.0,3C,S,GA,SS,NN,LF,RR,0.0,0.0,0.0,0.0,SI,MM,ZZ,DD,Dup,1.0702,33.39058,baseline,PBO LLIN,PBO LLIN,PermaNet-3,PermaNet-3,3.0,East,East Central,An. gambiae,pre,109410010005
VBS50298-6645STDY11194065,109410010001,Martin Donnelly,Uganda,9410,2017,6,1.075,33.39,F,1288-VO-UG-DONNELLY-VMF00168,3.6,2,1288-VO-UG-DONNELLY,https://www.malariagen.net/partner_study/1288-VO-UG-DONNELLY,2025-11-17,https://malariagen.github.io/vector-data/ag3/ag3.6.html#terms-of-use,False,31.51,31,32,31.42,31,32,31.81,32,32,30.61,31,31,31.16,31,31,33.32,32,32,0.938,0.02202,1.645,1926.206,0.0049846625766871,0.0200860832137733,0.0214876033057851,gambcolu,gambiae,gambiae,UGA,Eastern Region,UG-E,Kaliro,gambiae,UG-E_gamb_2017,UG-E_gamb_2017_06,UG-E_gamb_2017_Q2,UG-E_Kaliro_gamb_2017,UG-E_Kaliro_gamb_2017_06,UG-E_Kaliro_gamb_2017_Q2,109410010001,1.0,94.0,10.0,10.0,1.0,109410010.0,9410010.0,2.0,39.0,D,3.0,3D,S,GA,SS,NN,FF,RR,1.0,0.0,0.0,0.0,SS,IM,ZL,DN,Dup,1.0702,33.39058,baseline,PBO LLIN,PBO LLIN,PermaNet-3,PermaNet-3,3.0,East,East Central,An. gambiae,pre,109410010001
VBS50299-6645STDY11194066,109410010024,Martin Donnelly,Uganda,9410,2017,6,1.075,33.39,F,1288-VO-UG-DONNELLY-VMF00168,3.6,2,1288-VO-UG-DONNELLY,https://www.malariagen.net/partner_study/1288-VO-UG-DONNELLY,2025-11-17,https://malariagen.github.io/vector-data/ag3/ag3.6.html#terms-of-use,False,33.3,33,34,33.17,33,34,33.46,34,34,32.59,33,33,33.06,33,34,34.93,34,34,0.939,0.02202,1.661,2091.278,0.0009582215408202,0.0107449856733524,0.0115511551155115,gambcolu,gambiae,gambiae,UGA,Eastern Region,UG-E,Kaliro,gambiae,UG-E_gamb_2017,UG-E_gamb_2017_06,UG-E_gamb_2017_Q2,UG-E_Kaliro_gamb_2017,UG-E_Kaliro_gamb_2017_06,UG-E_Kaliro_gamb_2017_Q2,109410010024,1.0,94.0,10.0,10.0,24.0,109410010.0,9410010.0,2.0,51.0,E,3.0,3E,S,GA,SS,NN,FF,RR,1.0,0.0,0.0,0.0,SS,MM,ZZ,DN,Dup,1.0702,33.39058,baseline,PBO LLIN,PBO LLIN,PermaNet-3,PermaNet-3,3.0,East,East Central,An. gambiae,pre,109410010024
VBS50300-6645STDY11194067,109410010019,Martin Donnelly,Uganda,9410,2017,6,1.075,33.39,F,1288-VO-UG-DONNELLY-VMF00168,3.6,2,1288-VO-UG-DONNELLY,https://www.malariagen.net/partner_study/1288-VO-UG-DONNELLY,2025-11-17,https://malariagen.github.io/vector-data/ag3/ag3.6.html#terms-of-use,False,25.56,25,26,25.49,25,26,25.65,26,26,24.99,25,26,25.39,25,25,26.89,26,26,0.939,0.02126,1.708,1478.652,0.0057471264367816,0.0150322118826055,0.0156636438582028,gambcolu,gambiae,gambiae,UGA,Eastern Region,UG-E,Kaliro,gambiae,UG-E_gamb_2017,UG-E_gamb_2017_06,UG-E_gamb_2017_Q2,UG-E_Kaliro_gamb_2017,UG-E_Kaliro_gamb_2017_06,UG-E_Kaliro_gamb_2017_Q2,109410010019,1.0,94.0,10.0,10.0,19.0,109410010.0,9410010.0,2.0,63.0,F,3.0,3F,S,GA,SS,NN,FF,SR,0.0,0.0,0.0,0.0,SS,MM,ZZ,DD,Dup,1.0702,33.39058,baseline,PBO LLIN,PBO LLIN,PermaNet-3,PermaNet-3,3.0,East,East Central,An. gambiae,pre,109410010019
VBS50301-6645STDY11194068,109410010020,Martin Donnelly,Uganda,9410,2017,6,1.075,33.39,F,1288-VO-UG-DONNELLY-VMF00168,3.6,2,1288-VO-UG-DONNELLY,https://www.malariagen.net/partner_study/1288-VO-UG-DONNELLY,2025-11-17,https://malariagen.github.io/vector-data/ag3/ag3.6.html#terms-of-use,False,30.72,31,31,30.98,31,31,30.92,31,31,29.81,30,30,30.3,30,31,32.21,31,31,0.942,0.02034,1.434,1447.618,0.0013407393219689,0.0200286123032904,0.0222405271828665,gambcolu,gambiae,gambiae,UGA,Eastern Region,UG-E,Kaliro,gambiae,UG-E_gamb_2017,UG-E_gamb_2017_06,UG-E_gamb_2017_Q2,UG-E_Kaliro_gamb_2017,UG-E_Kaliro_gamb_2017_06,UG-E_Kaliro_gamb_2017_Q2,109410010020,1.0,94.0,10.0,10.0,20.0,109410010.0,9410010.0,2.0,75.0,G,3.0,3G,S,GA,SS,NN,LL,SR,1.0,0.0,0.0,0.0,II,MM,ZZ,DD,Dup,1.0702,33.39058,baseline,PBO LLIN,PBO LLIN,PermaNet-3,PermaNet-3,3.0,East,East Central,An. gambiae,pre,109410010020
VBS50302-6645STDY11194069,109410010011,Martin Donnelly,Uganda,9410,2017,6,1.075,33.39,F,1288-VO-UG-DONNELLY-VMF00168,3.6,2,1288-VO-UG-DONNELLY,https://www.malariagen.net/partner_study/1288-VO-UG-DONNELLY,2025-11-17,https://malariagen.github.io/vector-data/ag3/ag3.6.html#terms-of-use,False,31.26,31,32,31.36,31,32,31.45,32,32,30.67,31,32,30.85,31,32,32.58,32,32,0.941,0.02119,1.844,2074.704,0.0036391495882014,0.0186246418338108,0.0198019801980198,gambcolu,gambiae,gambiae,UGA,Eastern Region,UG-E,Kaliro,gambiae,UG-E_gamb_2017,UG-E_gamb_2017_06,UG-E_gamb_2017_Q2,UG-E_Kaliro_gamb_2017,UG-E_Kaliro_gamb_2017_06,UG-E_Kaliro_gamb_2017_Q2,109410010011,1.0,94.0,10.0,10.0,11.0,109410010.0,9410010.0,2.0,87.0,H,3.0,3H,S,GA,SS,NN,FF,RR,1.0,0.0,0.0,0.0,SS,MM,ZZ,DD,Dup,1.0702,33.39058,baseline,PBO LLIN,PBO LLIN,PermaNet-3,PermaNet-3,3.0,East,East Central,An. gambiae,pre,109410010011
VBS50303-6645STDY11194070,106905060001,Martin Donnelly,Uganda,6905,2017,6,0.329,33.841,F,1288-VO-UG-DONNELLY-VMF00168,3.6,2,1288-VO-UG-DONNELLY,https://www.malariagen.net/partner_study/1288-VO-UG-DONNELLY,2025-11-17,https://malariagen.github.io/vector-data/ag3/ag3.6.html#terms-of-use,False,28.56,28,28,28.49,28,28,28.96,29,29,27.68,28,28,28.18,28,28,30.08,29,29,0.94,0.02114,1.718,1852.393,0.0015328607012837,0.0157142857142857,0.0164473684210526,gambcolu,gambiae,gambiae,UGA,Eastern Region,UG-E,Namayingo,gambiae,UG-E_gamb_2017,UG-E_gamb_2017_06,UG-E_gamb_2017_Q2,UG-E_Namayingo_gamb_2017,UG-E_Namayingo_gamb_2017_06,UG-E_Namayingo_gamb_2017_Q2,106905060001,1.0,69.0,5.0,60.0,1.0,106905060.0,6905060.0,3.0,2.0,A,2.0,2A,S,GA,SS,NN,LF,RR,0.0,0.0,0.0,0.0,SI,MM,ZZ,DD,Dup,0.332429,33.84283,baseline,Non-PBO LLIN,Non-PBO LLIN,PermaNet-2,PermaNet-2,3.0,East,East Central,An. gambiae,pre,106905060001
VBS50304-6645STDY11194071,106905060007,Martin Donnelly,Uganda,6905,2017,6,0.329,33.841,F,1288-VO-UG-DONNELLY-VMF00168,3.6,2,1288-VO-UG-DONNELLY,https://www.malariagen.net/partner_study/1288-VO-UG-DONNELLY,2025-11-17,https://malariagen.github.io/vector-data/ag3/ag3.6.html#terms-of-use,False,32.24,32,33,32.68,33,33,32.27,33,33,31.5,32,33,31.84,32,33,33.5,33,33,0.941,0.0203,1.857,2289.499,0.002680965147453,0.0150429799426934,0.0172981878088962,gambcolu,gambiae,gambiae,UGA,Eastern Region,UG-E,Namayingo,gambiae,UG-E_gamb_2017,UG-E_gamb_2017_06,UG-E_gamb_2017_Q2,UG-E_Namayingo_gamb_2017,UG-E_Namayingo_gamb_2017_06,UG-E_Namayingo_gamb_2017_Q2,106905060007,1.0,69.0,5.0,60.0,7.0,106905060.0,6905060.0,3.0,14.0,B,2.0,2B,S,GA,SS,NN,LL,SR,0.0,0.0,0.0,0.0,II,IM,ZL,DN,Dup,0.332429,33.84283,baseline,Non-PBO LLIN,Non-PBO LLIN,PermaNet-2,PermaNet-2,3.0,East,East Central,An. gambiae,pre,106905060007
VBS50305-6645STDY11194072,106905060003,Martin Donnelly,Uganda,6905,2017,6,0.329,33.841,F,1288-VO-UG-DONNELLY-VMF00168,3.6,2,1288-VO-UG-DONNELLY,https://www.malariagen.net/partner_study/1288-VO-UG-DONNELLY,2025-11-17,https://malariagen.github.io/vector-data/ag3/ag3.6.html#terms-of-use,False,29.78,30,30,29.82,30,30,29.84,30,31,29.35,29,30,29.39,29,30,31.2,30,30,0.937,0.02202,1.726,1906.806,0.0022988505747126,0.015,0.0139802631578947,gambcolu,gambiae,gambiae,UGA,Eastern Region,UG-E,Namayingo,gambiae,UG-E_gamb_2017,UG-E_gamb_2017_06,UG-E_gamb_2017_Q2,UG-E_Namayingo_gamb_2017,UG-E_Namayingo_gamb_2017_06,UG-E_Namayingo_gamb_2017_Q2,106905060003,1.0,69.0,5.0,60.0,3.0,106905060.0,6905060.0,3.0,26.0,C,2.0,2C,S,GA,SS,NN,LF,RR,1.0,0.0,0.0,0.0,SS,MM,ZZ,DD,Dup,0.332429,33.84283,baseline,Non-PBO LLIN,Non-PBO LLIN,PermaNet-2,PermaNet-2,3.0,East,East Central,An. gambiae,pre,106905060003
